
SaleID,ProductID,CustomerID,Date,Quantity,UnitPrice,Revenue,Region
1,101,501,2024-01-05,3,120,360,North
2,102,502,2024-01-06,2,250,500,South
3,103,503,2024-01-07,1,180,180,East
4,104,504,2024-01-08,5,90,450,West
5,101,505,2024-01-09,4,120,480,North
6,102,506,2024-01-10,3,250,750,South
7,105,507,2024-01-12,6,60,360,East
8,103,508,2024-01-13,2,180,360,West
9,104,509,2024-01-15,1,90,90,North
10,105,510,2024-01-16,4,60,240,South
11,101,511,2024-01-17,2,120,240,East
12,102,512,2024-01-18,3,250,750,West
13,103,513,2024-01-20,5,180,900,North
14,104,514,2024-01-21,3,90,270,South
15,105,515,2024-01-23,1,60,60,East
16,101,516,2024-01-24,2,120,240,West
17,102,517,2024-01-25,4,250,1000,North
18,103,518,2024-01-26,2,180,360,South
19,104,519,2024-01-27,3,90,270,East
20,105,520,2024-01-28,4,60,240,West
